4911	137	9684	3.510e+00	1.284e+00	5.471e+00	2.467e+01
5362	1035	9689	3.182e+00	1.186e+00	5.343e+00	2.015e+01
5668	1637	9698	2.964e+00	1.087e+00	5.292e+00	1.705e+01
5788	1848	9728	2.897e+00	1.087e+00	5.267e+00	1.658e+01
5840	1923	9757	2.880e+00	9.881e-01	3.908e+00	1.112e+01
6228	2698	9758	2.596e+00	8.893e-01	3.785e+00	8.735e+00
6656	3537	9774	2.293e+00	8.893e-01	6.288e+00	1.282e+01
7188	4477	9899	1.993e+00	8.893e-01	6.167e+00	1.093e+01
7285	4639	9931	1.946e+00	7.905e-01	5.938e+00	9.131e+00
7829	5476	10182	1.730e+00	8.893e-01	5.885e+00	9.053e+00
8041	5727	10354	1.701e+00	8.893e-01	4.933e+00	7.462e+00
8263	5777	10749	1.828e+00	8.893e-01	4.394e+00	7.142e+00
8383	5913	10852	1.816e+00	8.893e-01	4.114e+00	6.643e+00
8640	6295	10984	1.724e+00	8.893e-01	3.306e+00	5.067e+00
9284	7322	11246	1.443e+00	9.881e-01	3.389e+00	4.830e+00
9379	7345	11412	1.495e+00	9.881e-01	3.403e+00	5.027e+00
9433	7389	11476	1.503e+00	9.881e-01	1.407e+00	2.089e+00
9529	7471	11586	1.513e+00	9.881e-01	1.333e+00	1.993e+00
9665	7708	11622	1.439e+00	9.881e-01	1.264e+00	1.797e+00
9707	7786	11628	1.412e+00	9.881e-01	1.194e+00	1.667e+00
9869	8083	11654	1.313e+00	9.881e-01	1.143e+00	1.482e+00
10220	8764	11676	1.071e+00	9.881e-01	1.111e+00	1.175e+00
10254	8820	11688	1.054e+00	8.893e-01	1.622e+00	1.521e+00
10364	9014	11714	9.926e-01	7.905e-01	1.556e+00	1.221e+00
10411	9104	11717	9.606e-01	7.905e-01	1.694e+00	1.287e+00
10412	9105	11719	9.610e-01	6.916e-01	1.350e+00	8.973e-01
10437	9117	11757	9.706e-01	5.928e-01	1.275e+00	7.336e-01
10441	9123	11758	9.687e-01	4.940e-01	1.200e+00	5.743e-01
10565	9315	11815	9.191e-01	4.940e-01	8.889e-01	4.036e-01
10578	9323	11832	9.224e-01	4.940e-01	8.889e-01	4.051e-01
10644	9421	11866	8.989e-01	4.940e-01	8.889e-01	3.947e-01
10655	9432	11877	8.989e-01	3.952e-01	1.472e+00	5.230e-01
10657	9434	11880	8.992e-01	3.952e-01	1.472e+00	5.232e-01
10665	9444	11886	8.978e-01	3.952e-01	2.594e+00	9.203e-01
10687	9460	11913	9.018e-01	2.964e-01	1.438e+00	3.843e-01
10698	9465	11931	9.066e-01	2.964e-01	1.114e+00	2.994e-01
10725	9471	11979	9.220e-01	2.964e-01	1.000e+00	2.733e-01
10760	9477	12043	9.434e-01	2.964e-01	5.952e-01	1.664e-01
10769	9486	12051	9.430e-01	2.964e-01	7.250e-01	2.027e-01
10784	9489	12078	9.518e-01	2.964e-01	1.028e+00	2.900e-01
10834	9564	12104	9.338e-01	2.964e-01	1.028e+00	2.845e-01
10880	9585	12174	9.518e-01	2.964e-01	1.028e+00	2.900e-01
10900	9589	12210	9.636e-01	2.964e-01	1.028e+00	2.936e-01
10913	9597	12229	9.676e-01	2.964e-01	1.028e+00	2.948e-01
10926	9606	12245	9.702e-01	2.964e-01	1.028e+00	2.956e-01
10940	9609	12270	9.783e-01	2.964e-01	1.028e+00	2.980e-01
10990	9646	12333	9.878e-01	2.964e-01	1.028e+00	3.009e-01
10998	9647	12348	9.930e-01	2.964e-01	1.028e+00	3.025e-01
11004	9652	12355	9.937e-01	2.964e-01	1.028e+00	3.027e-01
11030	9684	12375	9.893e-01	2.964e-01	1.028e+00	3.014e-01
11267	9689	12844	1.160e+00	3.952e-01	4.250e-01	1.948e-01
11519	9698	13340	1.339e+00	3.952e-01	4.167e-01	2.205e-01
11541	9728	13354	1.333e+00	3.952e-01	4.583e-01	2.415e-01
11569	9757	13381	1.332e+00	3.952e-01	5.741e-01	3.023e-01
11882	9758	14005	1.561e+00	4.940e-01	5.873e-01	4.530e-01
12358	9774	14942	1.900e+00	4.940e-01	6.250e-01	5.866e-01
12613	9899	15327	1.996e+00	4.940e-01	6.790e-01	6.694e-01
12639	9931	15346	1.991e+00	4.940e-01	5.111e-01	5.027e-01
12780	10182	15378	1.910e+00	4.940e-01	1.917e+00	1.809e+00
12876	10354	15398	1.854e+00	3.952e-01	1.000e+00	7.329e-01
13075	10749	15401	1.710e+00	3.952e-01	9.841e-01	6.652e-01
13129	10852	15406	1.674e+00	4.940e-01	1.800e+00	1.489e+00
13210	10984	15435	1.636e+00	4.940e-01	1.867e+00	1.509e+00
13354	11246	15462	1.550e+00	4.940e-01	2.291e+00	1.754e+00
13504	11412	15595	1.538e+00	3.952e-01	3.000e+00	1.823e+00
13939	11476	16402	1.811e+00	3.952e-01	3.208e+00	2.296e+00
14180	11586	16774	1.907e+00	4.940e-01	3.462e+00	3.262e+00
14446	11622	17270	2.076e+00	4.940e-01	3.714e+00	3.810e+00
14460	11628	17292	2.082e+00	4.940e-01	3.929e+00	4.041e+00
14643	11654	17631	2.197e+00	5.928e-01	4.143e+00	5.397e+00
14656	11676	17636	2.191e+00	6.916e-01	5.423e+00	8.218e+00
14665	11688	17642	2.189e+00	7.905e-01	5.654e+00	9.782e+00
14684	11714	17654	2.184e+00	8.893e-01	5.885e+00	1.143e+01
14689	11717	17660	2.185e+00	9.881e-01	6.115e+00	1.320e+01
14691	11719	17662	2.185e+00	1.087e+00	6.346e+00	1.507e+01
14715	11757	17672	2.175e+00	1.186e+00	5.400e+00	1.392e+01
14725	11758	17691	2.181e+00	1.284e+00	4.028e+00	1.128e+01
14757	11815	17699	2.163e+00	1.383e+00	4.924e+00	1.473e+01
14783	11832	17733	2.169e+00	1.284e+00	4.924e+00	1.372e+01
14801	11866	17735	2.158e+00	1.383e+00	4.629e+00	1.381e+01
14809	11877	17740	2.155e+00	1.482e+00	4.514e+00	1.442e+01
14813	11880	17745	2.156e+00	1.581e+00	4.556e+00	1.553e+01
14819	11886	17751	2.156e+00	1.680e+00	3.425e+00	1.240e+01
14836	11913	17758	2.149e+00	1.779e+00	4.952e+00	1.893e+01
14851	11931	17770	2.147e+00	1.877e+00	4.921e+00	1.983e+01
14875	11979	17771	2.129e+00	1.976e+00	4.889e+00	2.057e+01
14909	12043	17774	2.107e+00	2.075e+00	5.133e+00	2.244e+01
14913	12051	17775	2.104e+00	2.174e+00	5.067e+00	2.318e+01
